,count,mean,std,min,50%,90%,95%,99%,99.5%,max
ood_score_original,1366.0,0.05532583570650925,0.19313918942736283,0.0,0.0,0.0020350020350019,0.5555555555555565,0.9981481481481487,1.0,1.0
global_nn1_ood,1366.0,0.5003660322108345,0.28878068449227084,0.0010980966325036604,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
ood_score_nn1_only,1366.0,0.5003660322108345,0.28878068449227084,0.0010980966325036604,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_max_rank,1366.0,0.5003660322108345,0.28878073411614147,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9897510980966325,0.9941434846266471,0.9989019033674963
panelness_anchor_top3_rank,1366.0,0.5003660322108345,0.28878077898155136,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_top5_rank,1366.0,0.5003660322108345,0.28878077966133026,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_proto_rank,1366.0,0.5003660322108345,0.28878077966133026,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_nn1_rank,1366.0,0.5003660322108345,0.28878068449227084,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9498535871156661,0.9898975109809662,0.9952415812591509,0.9996339677891655
ood_score_v3_max,1366.0,0.025979222817197584,0.11073477799664262,0.0,0.0,0.001875449532843259,0.14564670457789086,0.6478232629037891,0.7665008572036395,0.9934114202049781
ood_score_v3_top3,1366.0,0.027520571928049936,0.11612103904290512,0.0,0.0,0.0013787660200543735,0.15962475515916258,0.72422698227969,0.8091722204643129,0.9993411420204978
ood_score_v3_top5,1366.0,0.030003805814007155,0.12255260882004003,0.0,0.0,0.0008558628617193275,0.21471327327842735,0.7323901903367486,0.8078324710645363,0.9993411420204978
ood_score_v3_proto,1366.0,0.03068289171085809,0.12354755094516515,0.0,0.0,0.0009001085135784463,0.24507011073628976,0.7003706355463297,0.8588065159990482,0.9973645680819913
mislabel_score_v2_add,1366.0,0.0582940704575503,0.1761269043164589,0.0,0.00124829562446725,0.11108552147666251,0.32676130938269166,0.9589144832629346,0.9941362957058162,0.99996953049243
dup_score,1366.0,0.08354685212298682,0.2594874180911143,0.0,0.0,0.25,1.0,1.0,1.0,1.0
