score_bin,count,score_min,score_max,score_mean,confidence_median,original_ood_median,final_ood_median,panelness_anchor_max_median,panelness_nn1_median,dup_positive,score_col,ratio
0.00-0.05,1211,0.0,0.0,0.0,0.9962339401245116,0.0,0.0,0.5065885797950219,0.44363103953147875,0,dup_score,0.8865300146412884
0.05-0.10,14,0.0625,0.0625,0.0625,0.9999531209468842,0.0,0.0,0.7463396778916545,0.8568814055636896,14,dup_score,0.010248901903367497
0.10-0.15,0,,,,,,,,,0,dup_score,0.0
0.15-0.20,0,,,,,,,,,0,dup_score,0.0
0.20-0.25,16,0.25,0.25,0.25,0.9988970756530762,0.0,0.0,0.6621522693997072,0.911420204978038,16,dup_score,0.01171303074670571
0.25-0.30,0,,,,,,,,,0,dup_score,0.0
0.30-0.35,0,,,,,,,,,0,dup_score,0.0
0.35-0.40,0,,,,,,,,,0,dup_score,0.0
0.40-0.45,0,,,,,,,,,0,dup_score,0.0
0.45-0.50,0,,,,,,,,,0,dup_score,0.0
0.50-0.55,0,,,,,,,,,0,dup_score,0.0
0.55-0.60,36,0.5625,0.5625,0.5625,0.9977603256702422,0.0,0.0,0.39604685212298685,0.9059297218155198,36,dup_score,0.02635431918008785
0.60-0.65,0,,,,,,,,,0,dup_score,0.0
0.65-0.70,0,,,,,,,,,0,dup_score,0.0
0.70-0.75,0,,,,,,,,,0,dup_score,0.0
0.75-0.80,0,,,,,,,,,0,dup_score,0.0
0.80-0.85,0,,,,,,,,,0,dup_score,0.0
0.85-0.90,0,,,,,,,,,0,dup_score,0.0
0.90-0.95,0,,,,,,,,,0,dup_score,0.0
0.95-1.00,89,1.0,1.0,1.0,0.998671531677246,0.0,0.0,0.4363103953147877,0.9571742313323572,89,dup_score,0.06515373352855051
0.00-0.05,1235,0.0,0.0447700447700447,0.00011863979475315425,0.9975508451461792,0.0,0.0,0.5058565153733529,0.513177159590044,147,ood_score_original,0.904099560761347
0.05-0.10,6,0.0529100529100524,0.0936100936100933,0.07326007326007304,0.7714808285236359,0.07326007326007285,0.04363857767957323,0.5713762811127379,0.513177159590044,1,ood_score_original,0.004392386530014641
0.10-0.15,6,0.1017501017501022,0.1424501424501419,0.12210012210012205,0.9808169901371002,0.12210012210012205,0.08918984870668617,0.256588579795022,0.48938506588579794,0,ood_score_original,0.004392386530014641
0.15-0.20,7,0.1505901505901508,0.1994301994301994,0.1750101750101751,0.9273931980133056,0.1750101750101751,0.12172917370574741,0.3726207906295754,0.3645680819912152,2,ood_score_original,0.005124450951683748
0.20-0.25,6,0.2075702075702071,0.248270248270248,0.22792022792022795,0.9325922429561615,0.2279202279202282,0.1584129904042058,0.3356515373352855,0.28898243045387995,1,ood_score_original,0.004392386530014641
0.25-0.30,6,0.256410256410257,0.2971102971102979,0.276760276760277,0.9184744954109192,0.2767602767602768,0.14836669485278575,0.5084187408491947,0.6570278184480234,0,ood_score_original,0.004392386530014641
