id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set
train_01233,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01233.jpg,1,train,4,0.16048909723758698,0,0.839510902762413,0.0,0.0010283137399642,224,35,False,False,False
train_00878,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00878.jpg,1,train,2,0.5483360290527344,1,0.4516639709472656,1.0,0.0425654658018119,427,74,False,False,False
train_00473,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00473.jpg,0,train,1,0.01970844529569149,0,0.01970844529569149,0.5625,1.248166892085546e-05,941,180,False,False,False
train_00244,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00244.jpg,1,train,2,0.0006402379949577153,0,0.9993597620050423,0.25,0.0599031934183343,24,9,True,True,True
train_01127,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01127.jpg,1,train,2,0.9997105002403259,1,0.00028949975967407227,0.0,0.000105537630021,1268,240,False,False,False
train_00315,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00315.jpg,0,train,1,0.3586260974407196,0,0.3586260974407196,0.0,0.0402973370710151,477,102,False,False,False
train_00322,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00322.jpg,1,train,3,0.07979506999254227,0,0.9202049300074577,0.0,0.0019792859132344,156,9,True,True,True
train_01179,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01179.jpg,0,train,2,0.0685078427195549,0,0.0685078427195549,0.0,0.0003515757648808,781,132,False,False,False
train_01294,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01294.jpg,0,train,0,0.01247068215161562,0,0.01247068215161562,0.0,5.214983656826704e-07,1000,162,False,False,False
train_00088,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00088.jpg,0,train,3,0.299152672290802,0,0.299152672290802,0.0,3.220922258353067e-07,536,121,False,False,False
train_00424,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00424.jpg,1,train,1,0.00033274953602813184,0,0.9996672504639719,0.0,0.0916204965228699,21,3,True,True,True
train_01258,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01258.jpg,0,train,2,0.011274064891040325,0,0.011274064891040325,0.0,0.0001652540958445,1012,178,False,False,False
