id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight_before_removal,removed_from_train
train_00613,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00613.jpg,1,train,0,2.1011665296555293e-07,0,0.999999789883347,0.0,0.0146148070957722,1,1,True,True,True,1.0,True
train_00238,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00238.jpg,1,train,0,1.6289134237013059e-06,0,0.9999983710865763,0.0,0.011546295447974,2,2,True,True,True,1.0,True
train_00160,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00160.jpg,1,val,0,4.738483767141588e-06,0,0.9999952615162329,0.0,0.8405228135632112,3,3,True,True,True,1.0,False
train_01241,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01241.jpg,1,train,0,1.7090109395212494e-05,0,0.9999829098906048,0.0,0.0009281991160581,5,4,True,True,True,1.0,True
train_00732,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00732.jpg,1,train,0,3.756920705200173e-05,0,0.999962430792948,0.0,0.0046565378231589,7,5,True,True,True,1.0,True
train_00509,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00509.jpg,1,train,0,0.00012054717808496207,0,0.999879452821915,0.0625,0.0550606975295077,11,6,True,True,True,0.96875,True
train_00273,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00273.jpg,1,train,0,0.00013502816727850586,0,0.9998649718327215,0.0,0.0027290367397651,12,7,True,True,True,1.0,True
train_00342,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00342.jpg,1,train,0,0.00016267232422251254,0,0.9998373276757775,0.0,0.0004234844957017,14,8,True,True,True,1.0,True
train_00993,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00993.jpg,1,train,0,0.00032349632238037884,0,0.9996765036776196,0.0,0.0001364167522733,20,9,True,True,True,1.0,True
train_00280,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00280.jpg,1,val,0,0.00038102376856841147,0,0.9996189762314316,0.0,0.9016124633264304,22,10,True,True,True,1.0,False
