score_bin,count,score_min,score_max,score_mean,confidence_median,original_ood_median,final_ood_median,panelness_anchor_max_median,panelness_nn1_median,dup_positive,score_col,ratio
0.00-0.05,1211,0.0,0.0,0.0,0.9962339401245116,0.0,0.0,0.5080527086383602,0.445095168374817,0,dup_score,0.8865300146412884
0.05-0.10,14,0.0625,0.0625,0.0625,0.9999531209468842,0.0,0.0,0.2712298682284041,0.9030014641288433,14,dup_score,0.010248901903367497
0.10-0.15,0,,,,,,,,,0,dup_score,0.0
0.15-0.20,0,,,,,,,,,0,dup_score,0.0
0.20-0.25,16,0.25,0.25,0.25,0.9988970756530762,0.0,0.0,0.3722547584187409,0.9227672035139092,16,dup_score,0.01171303074670571
0.25-0.30,0,,,,,,,,,0,dup_score,0.0
0.30-0.35,0,,,,,,,,,0,dup_score,0.0
0.35-0.40,0,,,,,,,,,0,dup_score,0.0
0.40-0.45,0,,,,,,,,,0,dup_score,0.0
0.45-0.50,0,,,,,,,,,0,dup_score,0.0
0.50-0.55,0,,,,,,,,,0,dup_score,0.0
0.55-0.60,36,0.5625,0.5625,0.5625,0.9977603256702422,0.0,0.0,0.2584187408491947,0.9051976573938507,36,dup_score,0.02635431918008785
0.60-0.65,0,,,,,,,,,0,dup_score,0.0
0.65-0.70,0,,,,,,,,,0,dup_score,0.0
0.70-0.75,0,,,,,,,,,0,dup_score,0.0
0.75-0.80,0,,,,,,,,,0,dup_score,0.0
0.80-0.85,0,,,,,,,,,0,dup_score,0.0
0.85-0.90,0,,,,,,,,,0,dup_score,0.0
0.90-0.95,0,,,,,,,,,0,dup_score,0.0
0.95-1.00,89,1.0,1.0,1.0,0.998671531677246,0.0,0.0,0.4062957540263543,0.9601024890190337,89,dup_score,0.06515373352855051
0.00-0.05,1235,0.0,0.0447700447700447,0.00011863979475315425,0.9975508451461792,0.0,0.0,0.49633967789165445,0.5259882869692533,147,ood_score_original,0.904099560761347
0.05-0.10,6,0.0529100529100524,0.0936100936100933,0.07326007326007304,0.7714808285236359,0.07326007326007285,0.0373021385100447,0.6244509516837482,0.09370424597364568,1,ood_score_original,0.004392386530014641
0.10-0.15,6,0.1017501017501022,0.1424501424501419,0.12210012210012205,0.9808169901371002,0.12210012210012205,0.07635510874895968,0.284407027818448,0.04136163982430454,0,ood_score_original,0.004392386530014641
0.15-0.20,7,0.1505901505901508,0.1994301994301994,0.1750101750101751,0.9273931980133056,0.1750101750101751,0.06098451193619571,0.780380673499268,0.08052708638360176,2,ood_score_original,0.005124450951683748
