id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight_before_removal,removed_from_train
train_01241,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01241.jpg,1,train,0,1.2820253232348477e-06,0,0.9999987179746768,0.0,0.0009281991160581,1,1,True,True,True,1.0,True
train_00509,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00509.jpg,1,train,0,4.048697064717999e-06,0,0.9999959513029353,0.0625,0.0550606975295077,2,2,True,True,True,0.96875,True
train_00613,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00613.jpg,1,train,0,6.426289928640472e-06,0,0.9999935737100714,0.0,0.0146148070957722,3,3,True,True,True,1.0,True
train_00238,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00238.jpg,1,train,0,2.4102404495351948e-05,0,0.9999758975955046,0.0,0.011546295447974,4,4,True,True,True,1.0,True
train_00342,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00342.jpg,1,train,0,5.633481123368256e-05,0,0.9999436651887663,0.0,0.0004234844957017,6,5,True,True,True,1.0,True
train_00732,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00732.jpg,1,train,0,0.00038318653241731226,0,0.9996168134675827,0.0,0.0046565378231589,15,6,True,True,True,1.0,True
train_00160,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00160.jpg,1,val,0,0.0004571923636831343,0,0.9995428076363169,0.0,0.8405228135632112,16,7,True,True,True,1.0,False
train_00056,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00056.jpg,1,train,0,0.0005238138837739825,0,0.999476186116226,0.0,0.0001628841399305,18,8,True,True,True,1.0,True
train_00312,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00312.jpg,1,train,0,0.0006039206637069583,0,0.999396079336293,0.0,0.0017577895581253,19,9,True,True,True,1.0,True
train_00764,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00764.jpg,0,train,0,0.9992788434028625,1,0.9992788434028625,0.0,0.0002839091256818,22,10,True,True,True,1.0,True
train_00475,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00475.jpg,1,train,0,0.0007628778694197536,0,0.9992371221305802,0.0,0.0002587324990154,24,11,False,True,False,1.0,True
train_00280,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00280.jpg,1,val,0,0.0008628206560388207,0,0.9991371793439612,0.0,0.9016124633264304,27,12,False,True,False,1.0,False
