score_col,rank,id,score,label,pred_label,ood_score_original,final_ood_score,panelness_anchor_rank,panelness_nn1_rank,source_path,copied_path
ood_score_original,1,train_00179,1.0,0,0,1.0,0.1,0.9897510980966325,0.8060029282576867,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00179.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank001_ood_score_original_1p0000_train_00179_label0_pred0.jpg
ood_score_original,2,train_00012,1.0,1,0,1.0,0.1,0.9956076134699854,0.1925329428989751,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00012.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank002_ood_score_original_1p0000_train_00012_label1_pred0.jpg
ood_score_original,3,train_00365,1.0,0,0,1.0,0.1,0.9897510980966325,0.10871156661786237,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00365.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank003_ood_score_original_1p0000_train_00365_label0_pred0.jpg
ood_score_original,4,train_00204,1.0,0,0,1.0,0.8543923865300147,0.1617862371888726,0.024158125915080528,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00204.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank004_ood_score_original_1p0000_train_00204_label0_pred0.jpg
ood_score_original,5,train_01138,1.0,0,0,1.0,0.1,0.9989019033674963,0.9586383601756955,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_01138.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank005_ood_score_original_1p0000_train_01138_label0_pred0.jpg
ood_score_original,6,train_00459,1.0,1,1,1.0,0.1,0.9897510980966325,0.0212298682284041,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00459.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank006_ood_score_original_1p0000_train_00459_label1_pred1.jpg
ood_score_original,7,train_00910,1.0,0,0,1.0,0.9578330893118594,0.04685212298682284,0.017569546120058566,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00910.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank007_ood_score_original_1p0000_train_00910_label0_pred0.jpg
ood_score_original,8,train_00562,1.0,0,1,1.0,0.1,0.9923133235724744,0.5915080527086384,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00562.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank008_ood_score_original_1p0000_train_00562_label0_pred1.jpg
ood_score_original,9,train_00020,1.0,1,1,1.0,0.9980234260614934,0.0021961932650073207,0.0007320644216691069,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00020.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank009_ood_score_original_1p0000_train_00020_label1_pred1.jpg
ood_score_original,10,train_00314,1.0,0,0,1.0,0.9947291361639824,0.005856515373352855,0.0014641288433382138,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00314.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank010_ood_score_original_1p0000_train_00314_label0_pred0.jpg
ood_score_original,11,train_00149,1.0,0,0,1.0,0.09999999999999998,1.0,0.6994875549048316,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00149.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank011_ood_score_original_1p0000_train_00149_label0_pred0.jpg
ood_score_original,12,train_00226,1.0,0,0,1.0,0.1,0.9831625183016105,0.8466325036603221,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00226.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank012_ood_score_original_1p0000_train_00226_label0_pred0.jpg
ood_score_original,13,train_00762,1.0,1,1,1.0,0.979575402635432,0.022693997071742314,0.03074670571010249,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00762.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank013_ood_score_original_1p0000_train_00762_label1_pred1.jpg
ood_score_original,14,train_00742,1.0,1,0,1.0,0.4946559297218156,0.5614934114202049,0.37701317715959004,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00742.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank014_ood_score_original_1p0000_train_00742_label1_pred0.jpg
ood_score_original,15,train_00692,0.9971509971509984,0,1,0.9971509971509984,0.1,0.9897510980966325,0.9308199121522694,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00692.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank015_ood_score_original_0p9972_train_00692_label0_pred1.jpg
ood_score_original,16,train_00931,0.9890109890109896,0,0,0.9890109890109896,0.1,0.8704245973645681,0.5724743777452416,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00931.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070104_v3_20260701_214839/top50_images/ood_score_original/rank016_ood_score_original_0p9890_train_00931_label0_pred0.jpg
