id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight_before_removal,removed_from_train
train_00613,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00613.jpg,1,train,0,2.1020322549247794e-07,0,0.9999997897967745,0.0,0.0146148070957722,1,1,True,True,True,1.0,True
train_00238,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00238.jpg,1,train,0,1.6312187653966248e-06,0,0.9999983687812346,0.0,0.011546295447974,2,2,True,True,True,1.0,True
train_00160,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00160.jpg,1,val,0,4.748735136672622e-06,0,0.9999952512648633,0.0,0.8405228135632112,3,3,True,True,True,1.0,False
train_01241,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01241.jpg,1,train,0,1.707101910142228e-05,0,0.9999829289808986,0.0,0.0009281991160581,5,4,True,True,True,1.0,True
train_00732,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00732.jpg,1,train,0,3.755728175747208e-05,0,0.9999624427182425,0.0,0.0046565378231589,7,5,True,True,True,1.0,True
train_00509,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00509.jpg,1,train,0,0.00012063238682458177,0,0.9998793676131754,0.0625,0.0550606975295077,11,6,True,True,True,0.96875,True
train_00273,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00273.jpg,1,train,0,0.00013528064300771803,0,0.9998647193569923,0.0,0.0027290367397651,12,7,True,True,True,1.0,True
train_00342,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00342.jpg,1,train,0,0.00016245160077232867,0,0.9998375483992277,0.0,0.0004234844957017,14,8,True,True,True,1.0,True
train_00993,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00993.jpg,1,train,0,0.0003233501629438251,0,0.9996766498370562,0.0,0.0001364167522733,20,9,True,True,True,1.0,True
train_00280,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00280.jpg,1,val,0,0.00038141952245496213,0,0.999618580477545,0.0,0.9016124633264304,22,10,True,True,True,1.0,False
train_01287,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01287.jpg,1,train,0,0.0005365348770283163,0,0.9994634651229717,0.0,0.0043909653667922,23,11,False,True,False,1.0,True
train_00794,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00794.jpg,1,train,0,0.0006448768544942141,0,0.9993551231455058,0.0,0.0029267680587054,25,12,False,True,False,1.0,True
train_00681,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00681.jpg,1,train,0,0.000711110420525074,0,0.9992888895794749,0.0,0.0006989762962874,27,13,False,True,False,1.0,True
train_00312,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00312.jpg,1,train,0,0.0007732577505521476,0,0.9992267422494479,0.0,0.0017577895581253,28,14,False,True,False,1.0,True
train_01144,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01144.jpg,1,train,0,0.0012855418026447296,0,0.9987144581973553,0.0,0.0065655402156458,32,15,False,True,False,1.0,True
train_00512,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00512.jpg,1,train,0,0.001472687115892768,0,0.9985273128841072,0.0,0.0006947831945836,34,16,False,True,False,1.0,True
train_00117,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00117.jpg,1,train,0,0.001839946024119854,0,0.9981600539758801,0.0,0.0004530949488852,37,17,False,True,False,1.0,True
train_00142,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00142.jpg,1,train,0,0.0020489331800490618,0,0.9979510668199509,0.0,0.0183707310660645,38,18,False,True,False,1.0,True
train_01117,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01117.jpg,1,train,0,0.002372230403125286,0,0.9976277695968747,0.0,0.0617850351932713,42,19,False,True,False,1.0,True
train_01339,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01339.jpg,1,train,0,0.0023868868593126535,0,0.9976131131406873,0.0,0.0373065129558071,43,20,False,True,False,1.0,True
train_00061,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00061.jpg,1,train,1,0.00016100541688501835,0,0.999838994583115,0.0,7.351359583100171e-05,13,1,True,True,True,1.0,True
train_01033,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01033.jpg,1,train,1,0.00022536584583576769,0,0.9997746341541642,0.0,0.001355767935457,17,2,True,True,True,1.0,True
train_00424,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00424.jpg,1,train,1,0.00033274953602813184,0,0.9996672504639719,0.0,0.0916204965228699,21,3,True,True,True,1.0,True
train_00194,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00194.jpg,1,train,1,0.0006473232642747462,0,0.9993526767357253,0.5625,0.1068691555999244,26,4,True,True,True,0.71875,True
train_00029,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00029.jpg,1,train,1,0.0010212268680334091,0,0.9989787731319666,0.0,0.1928870923195978,29,5,True,True,True,1.0,True
