id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight
train_01233,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01233.jpg,1,train,4,0.16048909723758698,0,0.839510902762413,0.0,0.0010283137399642,224,35,False,False,False,1.0
train_00878,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00878.jpg,1,train,2,0.5483360290527344,1,0.4516639709472656,1.0,0.0425654658018119,427,74,False,False,False,0.5
train_00473,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00473.jpg,0,train,1,0.01970844529569149,0,0.01970844529569149,0.5625,1.248166892085546e-05,941,180,False,False,False,0.71875
train_01127,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01127.jpg,1,train,2,0.9997105002403259,1,0.00028949975967407227,0.0,0.000105537630021,1268,240,False,False,False,1.0
train_00315,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00315.jpg,0,train,1,0.3586260974407196,0,0.3586260974407196,0.0,0.0402973370710151,477,102,False,False,False,1.0
train_01179,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01179.jpg,0,train,2,0.0685078427195549,0,0.0685078427195549,0.0,0.0003515757648808,781,132,False,False,False,1.0
train_01294,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01294.jpg,0,train,0,0.01247068215161562,0,0.01247068215161562,0.0,5.214983656826704e-07,1000,162,False,False,False,1.0
train_00088,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00088.jpg,0,train,3,0.299152672290802,0,0.299152672290802,0.0,3.220922258353067e-07,536,121,False,False,False,1.0
train_01258,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01258.jpg,0,train,2,0.011274064891040325,0,0.011274064891040325,0.0,0.0001652540958445,1012,178,False,False,False,1.0
train_00373,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00373.jpg,1,train,0,0.021883707493543625,0,0.9781162925064564,0.0,0.0011930990723164,96,33,False,False,False,1.0
train_00529,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00529.jpg,0,train,3,0.04663589969277382,0,0.04663589969277382,0.0,1.841447686078428e-08,832,216,False,False,False,1.0
train_00762,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00762.jpg,1,train,1,0.8069784641265869,1,0.19302153587341309,0.0,0.0,613,124,False,False,False,1.0
train_00920,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00920.jpg,0,train,1,0.00021013438527006656,0,0.00021013438527006656,0.0,1.8882643947251004e-05,1279,264,False,False,False,1.0
train_00349,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00349.jpg,0,train,1,0.19877243041992188,0,0.19877243041992188,0.0,0.0001455136544825,609,122,False,False,False,1.0
train_01162,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01162.jpg,0,train,2,0.027648834511637688,0,0.027648834511637688,0.0,0.0401184672273887,901,151,False,False,False,1.0
train_00774,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00774.jpg,1,train,4,0.19554920494556427,0,0.8044507950544357,0.0,0.0028618500089281,252,42,False,False,False,1.0
train_01335,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01335.jpg,0,train,4,0.0004722335434053093,0,0.0004722335434053093,0.0,5.124867702741093e-07,1246,270,False,False,False,1.0
train_00107,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00107.jpg,1,train,0,0.9028432369232178,1,0.09715676307678223,0.0,0.0013189037091865,734,129,False,False,False,1.0
train_00271,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00271.jpg,0,train,1,0.8439422845840454,1,0.8439422845840454,0.0,0.0023678055904682,220,54,False,False,False,1.0
train_00979,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00979.jpg,1,train,2,0.752749502658844,1,0.247250497341156,0.0,0.0041256659337759,570,95,False,False,False,1.0
