id,path,label,dup_score,cnn_dup_score,phash_dup_score,nearest_id,nearest_cos_sim,nearest_phash_dist,dup_source,nearest_label,duplicate_label_conflict,ood_score,ood_score_raw_combined,frozen_ood_rank,scorebaseline_ood_score,density_outlier,centroid_outlier,low_confidence,pred_clean,pred_dusty,confidence,mean_cos,centroid_cos,scorebaseline_mean_cos,scorebaseline_centroid_cos,scorebaseline_top1_id,scorebaseline_top1_cos
train_00000,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00000.jpg,0,0.0,0.0,0.0,,0.89875954,,none,,0.0,0.06881405563689605,0.13957729202151126,0.1171303074670571,0.1361639824304539,0.14275256222547583,0.2415812591508053,0.07842299342155457,0.9607884883880616,0.0392114967107772,0.9215770065784454,0.79547954,0.8077588,0.8738588,0.8134856,train_00886,0.89875954
train_00001,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00001.jpg,1,0.0,0.0,0.0,,0.8664615,,none,,0.0,0.8001464128843339,0.7137219599085706,0.8345534407027818,0.2414348462664715,0.814787701317716,0.7467057101024891,0.9738960266113282,0.4869480729103088,0.5130519866943359,0.0261039733886718,0.73315454,0.7473704,0.82891846,0.7922426,train_00038,0.8664615
train_00002,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00002.jpg,0,0.0,0.0,0.0,,0.94267833,,none,,0.0,0.4172767203513909,0.4355795374722118,0.29941434846266474,0.8756954612005856,0.040995607613469986,0.7935578330893119,0.1549168974161148,0.922541618347168,0.0774584487080574,0.8450831025838852,0.81702435,0.73682785,0.62070817,0.4640588,train_00205,0.94267833
train_00003,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00003.jpg,1,0.0,0.0,0.0,,0.8005113,,none,,0.0,0.8704245973645681,0.7673029762794472,0.9816983894582724,0.352415812591508,0.9743777452415813,0.9553440702781845,0.14682185649871826,0.0734109133481979,0.9265890717506408,0.8531781435012817,0.6816882,0.6684716,0.7789352,0.77011245,train_00091,0.8005113
train_00004,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00004.jpg,1,0.0,0.0,0.0,,0.5549015,,none,,0.0,0.8660322108345534,0.7607301329938071,0.7767203513909224,0.935285505124451,0.8484626647144949,0.5314787701317716,0.5599367618560791,0.7200316190719604,0.2799683809280395,0.4400632381439209,0.7273675,0.77804255,0.50283575,0.48669475,train_00925,0.5549015
train_00005,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00005.jpg,0,0.0,0.0,0.0,,0.5851948,,none,,0.0,0.6910688140556369,0.6309420850755181,0.6515373352855052,0.8601756954612005,0.7005856515373353,0.48975109809663253,0.19741499423980713,0.9012925028800964,0.0987074971199035,0.8025850057601929,0.7455493,0.7823396,0.5622541,0.59602356,train_00163,0.5851948
train_00006,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00006.jpg,1,0.0,0.0,0.0,,0.79427284,,none,,0.0,0.3067349926793558,0.35387115474850334,0.21486090775988287,0.5686676427525622,0.42752562225475843,0.04026354319180081,0.8402488827705384,0.5798755884170532,0.4201244413852691,0.1597511172294616,0.76835716,0.8373836,0.75147855,0.6293624,train_01073,0.79427284
train_00007,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00007.jpg,0,0.0625,0.0,0.0625,train_00301,0.86061895,6.0,phash,0.0,0.0,0.15300146412884333,0.21857942812919268,0.14275256222547583,0.4238653001464129,0.06734992679355778,0.40995607613469986,0.05109442770481121,0.974452793598175,0.0255472138524055,0.9489055722951888,0.80891097,0.7905216,0.8236492,0.6371574,train_00395,0.86061895
train_00008,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00008.jpg,1,0.0,0.0,0.0,,0.7832925,,none,,0.0,0.328696925329429,0.3699188795166518,0.24011713030746706,0.599121522693997,0.39824304538799415,0.1361639824304539,0.7388666868209839,0.6305666565895081,0.3694333434104919,0.2611333131790161,0.7705655,0.81858253,0.7399994,0.61859787,train_01297,0.7832925
train_00009,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00009.jpg,1,0.0,0.0,0.0,,0.8214834,,none,,0.0,0.6727672035139092,0.6158980996332964,0.486090775988287,0.9897510980966324,0.4304538799414348,0.5395314787701317,0.7801376581192017,0.390068769454956,0.6099311709403992,0.2198623418807983,0.7681536,0.7770518,0.4637215,0.21100147,train_00398,0.8214834
train_00010,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00010.jpg,0,0.0,0.0,0.0,,0.81270546,,none,,0.0,0.4143484626647145,0.43208385836851193,0.49231332357247437,0.3103953147877012,0.4385065885797951,0.5380673499267936,0.2659337520599365,0.1329669207334518,0.8670331239700317,0.7340662479400635,0.76730776,0.77741694,0.7807549,0.7980186,train_00906,0.81270546
train_00011,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00011.jpg,0,0.5625,0.0,0.5625,train_00798,0.9507691,2.0,phash,0.0,0.0,0.11346998535871157,0.1786340302647818,0.09736456808199122,0.3730600292825768,0.24524158125915085,0.03221083455344065,0.23458334803581238,0.8827082514762878,0.1172916740179061,0.7654166519641876,0.7835551,0.83920205,0.7641151,0.78252757,train_00798,0.9507691
train_00012,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00012.jpg,1,0.0,0.0,0.0,,0.8098192,,none,,0.0,0.8982430453879942,0.7963334344482352,0.9597364568081991,0.4739385065885797,0.9670571010248902,0.8879941434846267,0.3939346373081207,0.8030326962471008,0.1969673186540603,0.6060653626918793,0.68763566,0.70844144,0.7558896,0.7230185,train_00987,0.8098192
train_00013,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00013.jpg,0,0.0,0.0,0.0,,0.8120089,,none,,0.0,0.44363103953147875,0.44889320595896265,0.3645680819912152,0.5929721815519766,0.19180087847730598,0.6742313323572474,0.5456670522689819,0.2728334665298462,0.727166473865509,0.454332947731018,0.78896224,0.7585542,0.73433095,0.6545086,train_00786,0.8120089
train_00014,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00014.jpg,0,0.0,0.0,0.0,,0.910976,,none,,0.0,0.21156661786237188,0.27014882608179114,0.09260614934114202,0.4941434846266471,0.24304538799414344,0.03001464128843323,0.9331866502761841,0.4665933549404144,0.533406674861908,0.0668133497238159,0.7838634,0.84022355,0.738656,0.7353653,train_01230,0.910976
train_00015,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00015.jpg,1,0.0,0.0,0.0,,0.7091948,,none,,0.0,0.3689604685212299,0.40054379967260856,0.349194729136164,0.7382137628111274,0.4209370424597365,0.30453879941434847,0.044017791748046764,0.022008903324604,0.9779911041259766,0.9559822082519532,0.7687004,0.801919,0.66965306,0.6276828,train_00581,0.7091948
train_00016,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00016.jpg,0,0.0,0.0,0.0,,0.855805,,none,,0.0,0.6903367496339677,0.6285522735974101,0.527818448023426,0.8642752562225475,0.5724743777452417,0.40336749633967794,0.9819356203079224,0.4909678101539612,0.5090321898460388,0.0180643796920776,0.75715137,0.79167885,0.5873062,0.5587593,train_00892,0.855805
train_00017,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00017.jpg,0,0.0,0.0,0.0,,0.7529458,,none,,0.0,0.3784773060029283,0.40875762578159963,0.4293557833089312,0.5096632503660322,0.4882869692532943,0.35285505124450955,0.08911359310150158,0.9554432034492492,0.0445567965507507,0.9108864068984984,0.76379234,0.79656947,0.7185889,0.7624414,train_01143,0.7529458
train_00018,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00018.jpg,1,0.0,0.0,0.0,,0.7803423,,none,,0.0,0.6874084919472914,0.6253857799539804,0.7492679355783309,0.4538799414348463,0.6266471449487555,0.7928257686676428,0.21981680393218994,0.1099083423614502,0.890091598033905,0.7801831960678101,0.7521561,0.7368885,0.749286,0.746591,train_00010,0.7803423
train_00019,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00019.jpg,0,0.0,0.0,0.0,,0.8722532,,none,,0.0,0.3916544655929722,0.4178770168311076,0.2814787701317716,0.7890190336749634,0.2269399707174231,0.47510980966325034,0.42174234986305237,0.7891287803649902,0.2108711749315261,0.5782576501369476,0.78569156,0.78432924,0.6696528,0.53063554,train_00244,0.8722532
train_00020,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00020.jpg,1,0.0,0.0,0.0,,0.6316048,,none,,0.0,0.9985358711566618,0.9600232192852138,0.9963396778916545,0.9518301610541728,0.9978038067349927,0.9677891654465594,0.7628237009048462,0.3814118504524231,0.6185881495475769,0.2371762990951538,0.6155427,0.649276,0.55241865,0.36555085,train_00604,0.6316048
train_00021,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00021.jpg,0,0.0,0.0,0.0,,0.77858657,,none,,0.0,0.2730600292825769,0.325607299823014,0.23206442166910687,0.6095168374816984,0.2635431918008785,0.32210834553440704,0.23030433058738708,0.8848478198051453,0.1151521652936935,0.7696956694126129,0.78165174,0.7998441,0.7361707,0.62207067,train_00276,0.77858657
train_00022,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00022.jpg,0,0.0,0.0,0.0,,0.8762569,,none,,0.0,0.3389458272327965,0.37898690109197075,0.2913616398243045,0.5727672035139092,0.28623718887262084,0.40775988286969256,0.43789243698120117,0.7810537815093994,0.2189462184906005,0.5621075630187988,0.77985096,0.790901,0.7133487,0.7219602,train_01137,0.8762569
train_00023,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00023.jpg,0,0.0,0.0,0.0,,0.6181486,,none,,0.0,0.9707174231332357,0.8807753788499846,0.986822840409956,0.8922401171303075,0.9787701317715959,0.9641288433382138,0.16163372993469238,0.0808168724179267,0.9191831350326538,0.8383662700653076,0.6788049,0.65224296,0.57717836,0.5098226,train_01278,0.6181486
train_00024,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00024.jpg,1,0.0,0.0,0.0,,0.92999405,,none,,0.0,0.1925329428989751,0.25285921746431295,0.16471449487554904,0.1737920937042459,0.28550512445095166,0.12518301610541727,0.9061177968978882,0.5469411015510559,0.4530588984489441,0.0938822031021118,0.7799438,0.8201252,0.91875637,0.7469779,train_00457,0.92999405
train_00025,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00025.jpg,1,0.0,0.0,0.0,,0.9224113,,none,,0.0,0.7225475841874085,0.6603874560400822,0.5387994143484627,0.957393850658858,0.4011713030746705,0.6749633967789166,0.9196871519088746,0.4598435759544372,0.5401564240455627,0.0803128480911254,0.7704715,0.7584652,0.5460758,0.34748763,train_01346,0.9224113
train_00026,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00026.jpg,1,0.0,0.0,0.0,,0.8631805,,none,,0.0,0.3806734992679356,0.40992220757646414,0.4128843338213763,0.2229868228404099,0.3155197657393851,0.5856515373352855,0.6499541401863098,0.6750229597091675,0.3249770700931549,0.3500458598136902,0.77739584,0.770223,0.83202267,0.799471,train_00927,0.8631805
train_00027,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00027.jpg,0,1.0,0.9847751,1.0,train_00502,0.9847751,0.0,phash,0.0,0.0,0.3623718887262079,0.3981527673916709,0.32284040995607616,0.6440702781844803,0.06295754026354317,0.7957540263543192,0.11395812779664993,0.9430209398269652,0.0569790638983249,0.8860418722033501,0.81028575,0.7364187,0.7207083,0.6257423,train_00502,0.9847751
