id,mislabel_score,dup_score,ood_score
train_00000,0.0,0.0,0.1361639824304539
train_00001,0.5773607640679076,0.0,0.2414348462664715
train_00002,0.0,0.0,0.8756954612005856
train_00003,0.0,0.0,0.352415812591508
train_00004,0.0,0.0,0.935285505124451
train_00005,0.0,0.0,0.8601756954612005
train_00006,0.0,0.0,0.5686676427525622
train_00007,0.0,0.0,0.4238653001464129
train_00008,0.0,0.0,0.599121522693997
train_00009,0.0,0.0,0.9897510980966325
train_00010,0.0,0.0,0.3103953147877012
train_00011,0.0,0.0,0.37306002928257687
train_00012,0.13573833078559883,0.0,0.4739385065885797
train_00013,0.06517666279270362,0.0,0.5929721815519766
train_00014,0.0,0.0,0.49414348462664714
train_00015,0.0,0.0,0.7382137628111274
train_00016,0.0,0.0,0.8642752562225475
train_00017,0.0,0.0,0.5096632503660322
train_00018,0.0,0.0,0.45387994143484633
train_00019,0.0,0.0,0.7890190336749634
train_00020,0.0,0.0,0.9518301610541727
train_00021,0.0,0.0,0.6095168374816984
train_00022,0.0,0.0,0.5727672035139092
train_00023,0.0,0.0,0.8922401171303075
train_00024,0.2510775265035187,0.0,0.17379209370424598
train_00025,0.0,0.0,0.957393850658858
train_00026,0.0,0.0,0.22298682284040994
train_00027,0.0,0.0,0.6440702781844803
train_00028,0.0,0.0,0.7448023426061494
train_00029,0.0,0.0,0.9505124450951684
train_00030,0.0,0.0,0.4607613469985359
train_00031,0.0,0.0,0.8052708638360175
train_00032,0.0,0.0,0.711420204978038
train_00033,0.0,0.0,0.34743777452415814
train_00034,0.23573634656828746,0.0,0.058711566617862365
train_00035,0.0,0.0,0.23572474377745245
train_00036,0.061802515591269966,0.0,0.7026354319180088
train_00037,0.0,0.0,0.5515373352855051
train_00038,0.0,0.0,0.13631039531478772
train_00039,0.0,0.0,0.9071742313323572
train_00040,0.0,0.0,0.5543191800878478
train_00041,0.0,0.0,0.05183016105417271
train_00042,0.0,0.23047942,0.8130307467057101
train_00043,0.0,0.0,0.48565153733528554
train_00044,0.0,0.0,0.353294289897511
train_00045,0.0,0.0,0.45285505124450953
train_00046,0.0,0.0,0.9330893118594437
train_00047,0.0,0.0,0.25812591508052707
train_00048,0.0,0.2975562,0.6651537335285506
train_00049,0.0,0.0,0.39531478770131767
train_00050,0.0,0.0,0.22811127379209362
train_00051,0.0,0.0,0.7389458272327964
train_00052,0.0,0.0,0.9783308931185944
train_00053,0.0,0.0,0.6837481698389458
train_00054,0.0,0.0,0.1815519765739385
train_00055,0.0,0.0,0.8251830161054172
train_00056,0.0,0.0,0.3922401171303074
train_00057,0.0,0.0,0.298389458272328
train_00058,0.0,0.0,0.9604685212298683
train_00059,0.0,0.0,0.7180087847730601
train_00060,0.0,0.6175826,0.9108345534407027
train_00061,0.06788685223630977,0.0,0.7036603221083455
train_00062,0.0,0.0,0.5938506588579795
train_00063,0.0,0.0,0.7352855051244509
train_00064,0.0,0.0,0.7796486090775988
train_00065,0.0,0.0,0.21024890190336754
train_00066,0.0,0.0,0.863103953147877
train_00067,0.0,0.0,0.1266471449487554
train_00068,0.0,0.0,0.24934114202049784
train_00069,0.43286981636887256,0.0,0.09121522693997064
train_00070,0.0,0.0,0.973792093704246
train_00071,0.0,0.0,0.14070278184480234
train_00072,0.0,0.0,0.5254758418740849
train_00073,0.0,0.0,0.9607613469985359
train_00074,0.0,0.0,0.5310395314787701
train_00075,0.0,0.0,0.6281112737920937
