id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof,is_oof_top100,sample_weight_before_removal
train_00244,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00244.jpg,1,train,2,0.00021262992231640965,0,0.9997873700776836,0.25,0.0599031934183343,13,True,0.875
train_00424,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00424.jpg,1,train,1,0.0057092574425041676,0,0.9942907425574958,0.0,0.0916204965228699,62,True,1.0
train_00172,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00172.jpg,0,train,1,0.9974695444107056,1,0.9974695444107056,0.0,1.32730977519685e-06,47,True,1.0
train_00764,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00764.jpg,0,train,0,0.9992788434028625,1,0.9992788434028625,0.0,0.0002839091256818,22,True,1.0
train_00200,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00200.jpg,0,train,2,0.9843651056289673,1,0.9843651056289673,0.0,0.1515395894801121,89,True,1.0
train_01212,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01212.jpg,1,train,0,0.003217086661607027,0,0.996782913338393,0.0,7.556348016949479e-05,51,True,1.0
train_00475,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00475.jpg,1,train,0,0.0007628778694197536,0,0.9992371221305802,0.0,0.0002587324990154,24,True,1.0
train_01273,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01273.jpg,1,train,2,0.015764979645609856,0,0.9842350203543901,0.0,0.0034841704073991,90,True,1.0
train_00986,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00986.jpg,1,train,2,0.0017261221073567867,0,0.9982738778926432,0.0,0.0080611514939382,39,True,1.0
train_00273,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00273.jpg,1,train,0,0.001535267336294055,0,0.998464732663706,0.0,0.0027290367397651,37,True,1.0
train_00569,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00569.jpg,1,train,1,0.00011413652828196064,0,0.999885863471718,0.0,0.0707942339573329,11,True,1.0
train_00435,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00435.jpg,1,train,4,0.010695806704461575,0,0.9893041932955384,0.5625,0.1668024085801977,77,True,0.71875
train_00254,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00254.jpg,0,train,2,0.9947006702423096,1,0.9947006702423096,0.0,0.1666570621876772,60,True,1.0
train_00342,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00342.jpg,1,train,0,5.633481123368256e-05,0,0.9999436651887663,0.0,0.0004234844957017,6,True,1.0
train_00368,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00368.jpg,0,train,2,0.9920788407325745,1,0.9920788407325745,0.0,1.753130255306083e-05,70,True,1.0
train_00519,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00519.jpg,1,train,4,0.01499098725616932,0,0.9850090127438307,0.0,0.0013847784668225,86,True,1.0
train_00187,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00187.jpg,1,train,0,0.02050074003636837,0,0.9794992599636316,0.25,0.2413697540861026,98,True,0.875
train_01138,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01138.jpg,0,train,4,0.9985979199409485,1,0.9985979199409485,0.0,0.0,36,True,1.0
train_00919,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00919.jpg,1,train,2,0.0033487139735370874,0,0.9966512860264629,0.0,0.0551408177438029,54,True,1.0
train_00194,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00194.jpg,1,train,1,0.0010585790732875466,0,0.9989414209267125,0.5625,0.1068691555999244,33,True,0.71875
train_00269,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00269.jpg,0,train,1,0.9881603717803955,1,0.9881603717803955,0.0,0.0409720150630681,81,True,1.0
train_00240,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00240.jpg,0,train,4,0.9846857786178589,1,0.9846857786178589,0.0,0.0001164942791935,88,True,1.0
train_00553,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00553.jpg,1,train,4,0.006078918464481831,0,0.9939210815355182,0.0,0.0107514154461114,64,True,1.0
train_00540,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00540.jpg,0,train,0,0.9986061453819275,1,0.9986061453819275,0.0,8.297192641138974e-05,35,True,1.0
train_00795,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00795.jpg,1,train,4,0.013586985878646374,0,0.9864130141213536,0.0,0.326919991768745,83,True,1.0
train_00609,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00609.jpg,0,train,1,0.9912273287773132,1,0.9912273287773132,0.0,3.399581086669306e-06,71,True,1.0
train_01192,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01192.jpg,1,train,2,0.0007445971132256091,0,0.9992554028867744,0.0,0.0493525197495937,23,True,1.0
train_00982,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00982.jpg,1,train,2,0.0013377794530242682,0,0.9986622205469757,0.0,0.0112087044058031,34,True,1.0
train_00353,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00353.jpg,1,train,2,0.0006887938361614943,0,0.9993112061638385,0.0,0.002969372513487,21,True,1.0
train_00017,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00017.jpg,0,train,2,0.992182195186615,1,0.992182195186615,0.0,0.0803997386993402,67,True,1.0
train_01195,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01195.jpg,0,train,1,0.9890201687812805,1,0.9890201687812805,0.0,9.97270394689434e-07,78,True,1.0
train_00665,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00665.jpg,1,train,1,0.016263479366898537,0,0.9837365206331015,0.0,0.0281675069840347,91,True,1.0
train_01022,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01022.jpg,0,train,1,0.9831656217575073,1,0.9831656217575073,0.0,0.000646804300626,92,True,1.0
train_00539,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00539.jpg,0,train,2,0.9951583743095398,1,0.9951583743095398,0.0,7.6051640336137075e-06,58,True,1.0
train_01315,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01315.jpg,1,train,0,0.0025725720915943384,0,0.9974274279084057,1.0,0.0598757327235404,48,True,0.5
